Datum,Uhrzeit,ADC,Rs_Ohm,PPM_CO2
2026-03-26,09:53:12,59,6535.6,466.58
2026-03-26,09:53:14,59,6535.6,466.58
2026-03-26,09:53:16,59,6535.6,466.58
2026-03-26,09:53:18,60,6420.0,490.22
2026-03-26,09:53:20,60,6420.0,490.22
2026-03-26,09:53:22,59,6535.6,466.58
2026-03-26,09:53:24,59,6535.6,466.58
2026-03-26,09:53:26,60,6420.0,490.22
2026-03-26,09:53:28,59,6535.6,466.58
2026-03-26,09:53:30,59,6535.6,466.58
2026-03-26,09:53:32,59,6535.6,466.58
2026-03-26,09:53:34,59,6535.6,466.58
2026-03-26,09:53:36,59,6535.6,466.58
2026-03-26,09:53:38,59,6535.6,466.58
2026-03-26,09:53:40,60,6420.0,490.22
2026-03-26,09:53:42,60,6420.0,490.22
2026-03-26,09:53:44,59,6535.6,466.58
2026-03-26,09:53:46,59,6535.6,466.58
2026-03-26,09:53:48,59,6535.6,466.58
2026-03-26,09:53:50,59,6535.6,466.58
2026-03-26,09:53:52,60,6420.0,490.22
2026-03-26,09:53:54,59,6535.6,466.58
2026-03-26,09:53:56,59,6535.6,466.58
2026-03-26,09:53:58,59,6535.6,466.58
2026-03-26,09:54:00,59,6535.6,466.58
2026-03-26,09:54:02,59,6535.6,466.58
2026-03-26,09:54:04,59,6535.6,466.58
2026-03-26,09:54:06,59,6535.6,466.58
2026-03-26,09:54:08,59,6535.6,466.58
2026-03-26,09:54:10,59,6535.6,466.58
2026-03-26,09:54:12,59,6535.6,466.58
2026-03-26,09:54:14,59,6535.6,466.58
2026-03-26,09:54:16,60,6420.0,490.22
2026-03-26,09:54:18,59,6535.6,466.58
2026-03-26,09:54:20,59,6535.6,466.58
2026-03-26,09:54:22,59,6535.6,466.58
2026-03-26,09:54:24,59,6535.6,466.58
2026-03-26,09:54:26,59,6535.6,466.58
2026-03-26,09:54:28,59,6535.6,466.58
2026-03-26,09:54:30,59,6535.6,466.58
2026-03-26,09:54:32,59,6535.6,466.58
2026-03-26,09:54:34,59,6535.6,466.58
2026-03-26,09:54:36,59,6535.6,466.58
2026-03-26,09:54:38,59,6535.6,466.58
2026-03-26,09:54:40,59,6535.6,466.58
2026-03-26,09:54:42,59,6535.6,466.58
2026-03-26,09:54:44,59,6535.6,466.58
2026-03-26,09:54:46,59,6535.6,466.58
2026-03-26,09:54:48,59,6535.6,466.58
2026-03-26,09:54:50,59,6535.6,466.58
2026-03-26,09:54:52,59,6535.6,466.58
2026-03-26,09:54:54,59,6535.6,466.58
2026-03-26,09:54:56,59,6535.6,466.58
2026-03-26,09:54:58,59,6535.6,466.58
2026-03-26,09:55:00,59,6535.6,466.58
2026-03-26,09:55:02,59,6535.6,466.58
2026-03-26,09:55:04,59,6535.6,466.58
2026-03-26,09:55:06,59,6535.6,466.58
2026-03-26,09:55:08,59,6535.6,466.58
2026-03-26,09:55:10,59,6535.6,466.58
2026-03-26,09:55:12,58,6655.2,443.73
2026-03-26,09:55:14,59,6535.6,466.58
